#Study : Sujay Analysis
#Date : 20180718 17:32:18
#Version : 6.4.8775.6
#TestRunDate : 20180711 11:18:18.773 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	HasGlasses Probability	IsMale Probability	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Sujay Analysis	20180718	Non Emergency David Camron	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111818773	0			0	0	1	532	157	168	168	-1.050481	0	-1.050406	0	-0.7871672	0	-1.107255	0	-0.3836097	0	-0.1499052	0	-1.442227	0	0.5740134	0	-1.050481	0	-0.1499052	0	-0.3680644	-0.588213	0.2804922	0.1977568	-0.1998135	0.004549072	-2.146698	-0.6681725	-1.057107	-1.121064	-2.76214	-2.3733	-2.35848	-0.9892594	-2.086807	-2.169688	-0.2760674	-0.9885023	-2.607276	-0.1563485	0.05489523	0.980567	8.41529	5.817852	-7.129794	573.2495	200.8764	0	0	603.7979	202.5761	642.6848	208.7668	0	0	673.4128	206.3163	623.042	249.1631	0	0						
Sujay Analysis	20180718	Non Emergency David Camron	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111818813	40			1	40	1	532	156	168	168	-0.8263096	0	-1.061194	0	-0.7878485	0	-0.9470863	0	-0.4731869	0	-0.006191172	0	-1.564486	0	0.2885656	0	-0.8263096	0	-0.006191172	0	-0.2921787	-0.5519999	0.3128502	0.1628391	-0.1754148	0.02892032	-2.120301	-0.5466558	-0.943167	-1.045326	-2.635679	-2.373719	-2.540175	-0.8567863	-2.028919	-2.177191	-0.1452836	-0.8826167	-2.403501	0.0746484	0.05426234	0.9787664	8.305121	5.781051	-7.035145	573.4715	200.6912	0	0	603.8026	202.4924	641.9381	209.1439	0	0	674.5684	206.8445	623.3574	248.1779	0	0						
Sujay Analysis	20180718	Non Emergency David Camron	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111818853	80			2	80	1	531	157	167	167	-0.9709886	0	-0.858848	0	-0.8227152	0	-1.238002	0	-0.5448149	0	0.1405825	0	-1.528187	0	0.1528258	0	-0.9709886	0	0.1405825	0	-0.3060561	-0.6308141	0.3540926	0.1448108	-0.1611193	0.03526418	-1.976477	-0.4858983	-1.010764	-1.12787	-2.58767	-2.333484	-2.670123	-0.9541191	-1.988766	-2.285176	-0.2358748	-1.011631	-2.651511	-0.1039882	0.05527827	0.9745036	9.418799	5.559092	-7.271306	573.2646	201.0586	0	0	600.4994	202.8055	642.6239	208.8223	0	0	672.8202	207.9461	623.9371	247.4154	0	0						
Sujay Analysis	20180718	Non Emergency David Camron	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111818893	120			3	120	1	533	156	166	166	-0.5366352	0	-1.111256	0	-1.136834	0	-0.7440515	0	-0.1821862	0	-0.4444167	0	-1.514408	0	0.1692459	0	-0.5366352	0	-0.1821862	0	-0.4122747	-0.7761069	0.2453941	0.03354617	-0.2522371	-0.00465522	-2.07882	-0.7071381	-0.8077539	-0.7481067	-2.298308	-2.050168	-2.319925	-0.6035831	-1.601709	-1.78042	-0.2641008	-0.6858695	-1.795022	-0.2685072	0.05452932	0.9811291	8.397913	5.621713	-7.343484	573.131	200.787	0	0	605.0743	200.56	641.6607	207.3046	0	0	672.7726	206.276	623.473	247.184	0	0						
Sujay Analysis	20180718	Non Emergency David Camron	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111818933	160			4	160	1	533	156	165	165	-0.638826	0	-1.210101	0	-1.231339	0	-0.8377308	0	-0.1527912	0	-0.5342302	0	-1.621435	0	0.1539277	0	-0.638826	0	-0.1527912	0	-0.5318111	-0.9214978	0.1986022	0.05135693	-0.3187435	-0.1004675	-2.104123	-0.7001309	-0.9257533	-0.8171031	-2.28588	-2.084753	-2.389534	-0.6097039	-1.650235	-1.889771	-0.3031067	-0.7375195	-1.893634	-0.727905	0.05835816	0.9826155	8.752178	4.894346	-7.162805	573.0546	200.1148	0	0	602.9738	201.5618	638.8911	207.2124	0	0	672.566	204.9996	623.2253	246.5757	0	0						
Sujay Analysis	20180718	Non Emergency David Camron	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111818973	200			5	200	1	532	156	165	165	-0.5470788	0	-0.9832368	0	-0.8681838	0	-0.673081	0	-0.3249604	0	-0.2517917	0	-1.616919	0	-0.009994706	0	-0.5470788	0	-0.2517917	0	-0.3504749	-0.8038399	0.2531151	0.03886627	-0.2389475	0.00507647	-1.990535	-0.6714587	-0.8210674	-0.7705624	-2.385465	-2.084796	-2.483205	-0.6399383	-1.660673	-1.903805	-0.2103666	-0.6549879	-1.891202	-0.231032	0.07701197	0.9808216	9.043553	5.395288	-6.663954	571.3503	200.6209	0	0	604.0305	200.9336	641.4137	207.2379	0	0	671.5618	206.0511	622.1573	245.7351	0	0						
Sujay Analysis	20180718	Non Emergency David Camron	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111819013	240			6	240	1	531	156	167	167	-0.437811	0	-1.002942	0	-0.7576135	0	-0.7805911	0	-0.4632522	0	-0.01112547	0	-1.674118	0	-0.005832827	0	-0.437811	0	-0.01112547	0	-0.2527615	-0.6859919	0.2263422	-0.06105758	-0.1721604	0.05911983	-1.952553	-0.627304	-0.7302237	-0.7769276	-2.46458	-2.17641	-2.486049	-0.809619	-1.708696	-1.950536	-0.09716336	-0.6467444	-1.977143	-0.01140636	0.07561044	0.9831926	9.383671	5.411473	-6.621866	571.5692	200.1283	0	0	603.778	200.6622	640.2047	206.6642	0	0	672.8584	207.3309	622.6522	246.1493	0	0						
Sujay Analysis	20180718	Non Emergency David Camron	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111819053	280			7	280	1	530	155	168	168	-0.7460653	0	-1.036975	0	-0.6441951	0	-0.8823082	0	-0.4623951	0	0.02068922	0	-1.622076	0	0.1796236	0	-0.7460653	0	0.02068922	0	-0.3096612	-0.6194962	0.3097134	0.1665247	-0.2222577	-0.002970003	-2.020188	-0.5545382	-0.8832852	-0.9596513	-2.550436	-2.241463	-2.312238	-0.9020479	-1.861473	-2.056334	-0.1313802	-0.7796546	-2.307304	0.023271	0.06601957	0.9796839	8.735272	5.903878	-6.717087	570.6706	200.6541	0	0	601.4561	200.4145	639.7576	206.9179	0	0	672.0724	206.3629	622.7182	246.0357	0	0						
Sujay Analysis	20180718	Non Emergency David Camron	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111819093	320			8	320	1	531	156	166	166	-0.4536591	0	-1.00019	0	-0.9921199	0	-0.8150718	0	-0.3775791	0	-0.09423725	0	-1.595369	0	0.04596256	0	-0.4536591	0	-0.09423725	0	-0.3440151	-0.7882749	0.2634707	0.04767591	-0.2077661	0.03194411	-1.987116	-0.5613568	-0.8096894	-0.8252596	-2.348344	-2.106826	-2.544247	-0.6694807	-1.677254	-1.93351	-0.2535017	-0.7938738	-1.899734	-0.2097422	0.06160717	0.9828326	9.041096	5.746484	-6.378234	571.2341	201.4603	0	0	601.4487	200.6059	640.5348	207.213	0	0	670.6439	206.66	621.2988	246.5485	0	0						
Sujay Analysis	20180718	Non Emergency David Camron	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111819133	360			9	360	1	530	155	168	168	-0.6495865	0	-1.026575	0	-1.122763	0	-1.04464	0	-0.3673806	0	0.05355744	0	-1.539798	0	0.03158619	0	-0.6495865	0	0.05355744	0	-0.3453371	-0.6661015	0.3815623	0.1745183	-0.1754541	0.04231917	-1.874635	-0.5108377	-0.8135272	-0.9183012	-2.499995	-2.188637	-2.369345	-0.9012536	-1.720114	-1.9382	-0.1316417	-0.8379145	-2.234705	-0.01225375	0.06396542	0.9783759	8.062116	5.86522	-6.616843	570.5802	201.6043	0	0	600.2673	200.8127	640.0125	207.8892	0	0	672.2141	205.0431	622.1363	245.8153	0	0						
