#Study : Sujay Analysis
#Date : 20180718 17:32:15
#Version : 6.4.8775.6
#TestRunDate : 20180716 12:16:53.909 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	HasGlasses Probability	IsMale Probability	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Sujay Analysis	20180718	Emergency Donald Trump	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_121653942	33			0	33	1	666	133	147	147	-2.152773	0	-0.9586006	0	1.043123	0	-0.1786349	0	-1.237696	0	0.4029789	0	-0.8896508	0	-0.3593303	0	-2.152773	0	0.4029789	0	0.8010478	0.9917297	0.2911462	-0.7524873	-0.2314764	-0.09054404	-0.5526019	0.7201442	-0.3935231	-1.097607	-0.4154458	-0.6545765	0.1547787	-1.025249	-0.4052698	-0.7566335	1.270018	1.064166	-1.690865	0.1792359	0.02072608	0.9235695	4.943017	5.578804	4.731049	693.7496	179.4834	0	0	727.2867	178.5414	757.2943	174.4489	0	0	785.5203	171.137	746.8596	209.9049	0	0						
Sujay Analysis	20180718	Emergency Donald Trump	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_121653975	66			1	67	1	665	132	147	147	-2.567542	0	-1.258766	0	1.509521	0	-0.6648139	0	-1.749711	0	-0.05328827	0	-1.555115	0	-0.9371418	0	-2.567542	0	-0.05328827	0	0.8649688	1.057198	0.1409274	-0.693007	-0.3190057	-0.1729973	-0.6913608	0.4725514	-0.4950965	-1.381092	-0.6405762	-1.101974	-0.1924547	-1.108694	-0.5106059	-0.9806248	1.965956	1.669296	-2.252754	0.08143527	0.01999214	0.9575549	4.986472	6.346878	5.065928	693.1793	177.9086	0	0	724.7942	178.0259	756.8639	172.3425	0	0	785.1653	169.5783	745.7998	206.7297	0	0						
Sujay Analysis	20180718	Emergency Donald Trump	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_121654009	100			2	100	1	663	127	151	151	-2.940065	0	-0.8577207	0	1.683437	0	-0.3202212	0	-2.033947	0	0.3121884	0	-1.557359	0	-1.133327	0	-2.940065	0	0.3121884	0	0.8175993	1.038952	-0.0802873	-0.5383062	-0.5195949	-0.3245676	-0.8740962	0.4092765	-0.5936979	-1.512211	-0.6473487	-1.22449	-0.2833634	-1.04485	-0.5749306	-1.452175	1.928533	1.62742	-2.354122	-0.3758723	0.02134337	0.9550557	3.232424	6.324728	5.455152	692.0966	174.9646	0	0	723.3291	174.1872	757.7532	168.1323	0	0	784.9877	165.4853	745.4189	205.0239	0	0						
Sujay Analysis	20180718	Emergency Donald Trump	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_121654042	133			3	133	1	664	124	152	152	-3.333418	0	-0.6459097	0	1.870591	0	-0.4026582	0	-2.57435	0	0.5789358	0	-2.171146	0	-1.911139	0	-3.333418	0	0.5789358	0	0.8753895	1.069881	0.05568434	-0.5195309	-0.7926798	-0.356653	-0.8891066	0.7515672	-0.744583	-1.451207	-0.5062155	-1.280532	-0.5241833	-0.9928868	-0.5195163	-1.731693	2.368262	1.814787	-2.337791	-0.2907469	0.02227041	0.9719852	0.75173	6.883539	5.120545	692.9666	172.207	0	0	725.0076	171.1336	758.3384	166.1312	0	0	787.6493	162.5388	746.4042	201.5134	0	0						
Sujay Analysis	20180718	Emergency Donald Trump	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_121654075	166			4	167	1	664	124	152	152	-3.398975	0	-0.6034899	0	1.829804	0	-0.4473342	0	-2.517585	0	0.6609877	0	-2.054275	0	-1.730836	0	-3.398975	0	0.6609877	0	0.880653	1.08604	0.06992002	-0.594071	-0.7778639	-0.3327799	-0.8329214	0.7497806	-0.7359044	-1.465306	-0.4922325	-1.217439	-0.4692289	-1.039489	-0.5582395	-1.713556	2.283677	1.731933	-2.412018	-0.3426612	0.02391642	0.9747158	0.5875037	6.977936	5.08831	692.8481	172.5338	0	0	725.6657	171.3027	758.4572	166.0133	0	0	787.7046	162.4631	746.2495	201.8853	0	0						
Sujay Analysis	20180718	Emergency Donald Trump	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_121654109	200			5	200	1	665	124	151	151	-3.637577	0	-0.6348702	0	1.85496	0	-0.4921765	0	-2.711181	0	0.5218265	0	-2.303317	0	-1.986	0	-3.637577	0	0.5218265	0	0.7939856	0.9929438	0.08815529	-0.5920859	-0.8822599	-0.3037812	-0.8616373	0.849081	-0.8417405	-1.473997	-0.5083871	-1.341873	-0.6743823	-1.000737	-0.5517406	-1.750218	2.495	1.933764	-2.273489	-0.4481497	0.02209746	0.9752138	1.833337	6.919946	4.843489	693.2548	171.9074	0	0	726.6704	170.9123	758.7573	165.9873	0	0	788.1885	163.4734	746.9614	200.7484	0	0						
Sujay Analysis	20180718	Emergency Donald Trump	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_121654142	233			6	234	1	664	124	152	152	-3.24395	0	-0.6056173	0	1.697044	0	-0.3314382	0	-2.26379	0	0.6973232	0	-1.922083	0	-1.484684	0	-3.24395	0	0.6973232	0	0.742072	0.8868215	0.1020003	-0.5079125	-0.6113921	-0.1654752	-0.6124552	0.7828152	-0.6457972	-1.219209	-0.3498195	-1.03184	-0.1845102	-1.025166	-0.5063776	-1.451251	2.071408	1.613257	-2.175861	-0.2950849	0.0222295	0.968893	2.128429	7.273942	4.61315	693.7128	171.3259	0	0	725.8721	170.2865	759.957	165.7374	0	0	788.1981	163.3556	747.5718	201.7572	0	0						
Sujay Analysis	20180718	Emergency Donald Trump	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_121654175	266			7	267	1	664	123	152	152	-3.487903	0	-0.7211137	0	1.712924	0	-0.5493053	0	-2.579592	0	0.6970273	0	-2.059086	0	-1.628074	0	-3.487903	0	0.6970273	0	0.8913885	1.081759	0.257791	-0.6850971	-0.6038449	-0.03909712	-0.5422986	0.8224521	-0.6922861	-1.500135	-0.5341222	-1.241173	-0.3538289	-1.3706	-0.6665226	-1.613331	2.274272	1.811556	-2.409388	-0.3870389	0.02017889	0.9574739	3.729516	7.097701	4.06885	693.2451	170.7556	0	0	726.8127	169.5257	760.3633	165.9425	0	0	788.3483	163.2613	747.8486	200.4683	0	0						
Sujay Analysis	20180718	Emergency Donald Trump	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_121654209	300			8	300	1	665	123	151	151	-3.663894	0	-0.7106436	0	1.692416	0	-0.660409	0	-2.640508	0	0.6722056	0	-2.071177	0	-1.655095	0	-3.663894	0	0.6722056	0	0.8927932	1.104328	0.2386479	-0.7794303	-0.6987087	-0.1490017	-0.570415	0.8494056	-0.7640844	-1.590174	-0.5836775	-1.285046	-0.4189744	-1.456724	-0.6725187	-1.648775	2.304145	1.828788	-2.444145	-0.5193025	0.020237	0.9590908	3.881989	7.06419	4.091322	694.2512	170.3892	0	0	726.8144	169.5259	760.5176	165.8405	0	0	788.2838	163.2362	748.3259	201.2094	0	0						
Sujay Analysis	20180718	Emergency Donald Trump	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_121654242	333			9	334	1	664	123	152	152	-3.408264	0	-0.6813811	0	1.609106	0	-0.5497252	0	-2.544352	0	0.6931269	0	-2.078642	0	-1.5929	0	-3.408264	0	0.6931269	0	0.8213251	0.9953614	0.22797	-0.7534871	-0.5332459	0.02169045	-0.5167746	0.8181129	-0.6667876	-1.458916	-0.5132523	-1.226224	-0.2829114	-1.246979	-0.7056657	-1.574272	2.253848	1.798467	-2.400443	-0.3684024	0.0199615	0.9552677	4.022437	7.087714	4.246947	693.5685	170.6458	0	0	726.0651	169.3842	761.269	166.9993	0	0	787.6199	162.8005	747.9229	201.7799	0	0						
