#Study : Sujay Analysis
#Date : 20180718 17:32:10
#Version : 6.4.8775.6
#TestRunDate : 20180716 11:44:07.059 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	HasGlasses Probability	IsMale Probability	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Sujay Analysis	20180718	Emergency Helen McEntee	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_114407059	0			0	0	0																																																																							
Sujay Analysis	20180718	Emergency Helen McEntee	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_114407099	40			1	40	0																																																																							
Sujay Analysis	20180718	Emergency Helen McEntee	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_114407139	80			2	80	0																																																																							
Sujay Analysis	20180718	Emergency Helen McEntee	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_114407179	120			3	120	0																																																																							
Sujay Analysis	20180718	Emergency Helen McEntee	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_114407219	160			4	160	0																																																																							
Sujay Analysis	20180718	Emergency Helen McEntee	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_114407259	200			5	200	0																																																																							
Sujay Analysis	20180718	Emergency Helen McEntee	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_114407299	240			6	240	0																																																																							
Sujay Analysis	20180718	Emergency Helen McEntee	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_114407339	280			7	280	0																																																																							
Sujay Analysis	20180718	Emergency Helen McEntee	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_114407379	320			8	320	0																																																																							
Sujay Analysis	20180718	Emergency Helen McEntee	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_114407419	360			9	360	0																																																																							
Sujay Analysis	20180718	Emergency Helen McEntee	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_114407459	400			10	400	1	375	194	91	91	0.5823248	0	-0.8314137	0	-0.3077878	0	-0.9479819	0	-0.3723834	0	0.2972667	0	-0.7398807	0	-0.6717634	0	0.5823248	0	0.2972667	0	-0.09361187	-0.2584756	-0.3199982	-1.283511	0.1695455	-0.1531936	-0.07648507	0.9618711	0.7302434	0.1621053	-0.02494121	0.7631887	-0.04340327	-1.81741	-0.3725044	0.6513382	-1.433232	-1.239723	-1.378554	1.589569	0.03340094	0.5938169	0.2579097	-15.42718	1.861967	399.213	207.7795	0	0	421.9248	228.0431	439.9297	224.644	0	0	452.8392	230.5027	428.0068	240.1503	0	0						
Sujay Analysis	20180718	Emergency Helen McEntee	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_114407499	440			11	440	1	377	194	94	94	-0.03484073	0	-0.2934178	0	-1.023197	0	-0.06781966	0	0.3435537	0	-0.2342402	0	-0.04616563	0	-0.6024839	0	-0.03484073	0	0.3435537	0	0.4509633	0.1467846	-0.3453774	-1.610212	-0.7227088	-0.7109671	-1.685371	0.7572485	0.01635539	0.6488067	-0.07101842	1.389283	0.5561572	-1.963913	-0.3984603	1.112199	-2.353031	-1.550824	-1.149859	1.11908	0.02798599	0.578091	-0.8734539	-14.69806	1.695547	398.9129	215.6196	0	0	418.2694	226.3922	439.5596	224.8262	0	0	457.9362	224.6759	428.9856	241.0343	0	0						
Sujay Analysis	20180718	Emergency Helen McEntee	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_114407539	480			12	480	1	375	194	94	94	0.2484138	0	-0.2856539	0	-0.6857673	0	-0.4125971	0	0.4554316	0	0.006374494	0	0.1020446	0	-0.262291	0	0.2484138	0	0.4554316	0	0.1292298	-0.1605237	-0.3528649	-1.538853	-0.4564522	-0.5720113	-1.413427	0.8279553	0.08474841	0.4819309	-0.04879152	1.025114	0.7614332	-1.606173	-0.3176408	0.9779386	-1.915963	-1.293069	-1.101686	1.405088	0.03056334	0.7739465	-0.4340309	-16.97086	1.275737	399.4174	214.0197	0	0	418.0304	226.3784	439.6689	224.5999	0	0	457.9622	224.5587	426.0597	240.8229	0	0						
Sujay Analysis	20180718	Emergency Helen McEntee	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_114407579	520			13	520	1	380	197	89	89	0.4748901	0	-0.8272655	0	-0.8288311	0	-0.1547628	0	0.153255	0	-0.1008246	0	0.1587669	0	-0.5447685	0	0.4748901	0	0.1587669	0	0.7931583	0.5150394	-0.9200334	-1.810827	-0.9691995	-1.162311	-2.426418	0.7366965	0.1650494	0.2757002	0.147746	1.447554	0.3979296	-2.245306	-0.1693776	1.048624	-2.934059	-2.017849	-1.429606	2.050431	0.03310184	0.7568073	-0.8104911	-16.78152	1.225877	400.8113	222.47	0	0	418.1579	226.4282	439.3864	224.8348	0	0	458.177	224.024	425.1016	240.5572	0	0						
