#Study : Sujay Analysis
#Date : 20180718 17:32:21
#Version : 6.4.8775.6
#TestRunDate : 20180607 17:33:17.229 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	HasGlasses Probability	IsMale Probability	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Sujay Analysis	20180718	Emergency Indira Gandhi	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180607_173317229	0			0	0	0																																																																							
Sujay Analysis	20180718	Emergency Indira Gandhi	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180607_173317269	40			1	40	0																																																																							
Sujay Analysis	20180718	Emergency Indira Gandhi	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180607_173317309	80			2	80	0																																																																							
Sujay Analysis	20180718	Emergency Indira Gandhi	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180607_173317349	120			3	120	0																																																																							
Sujay Analysis	20180718	Emergency Indira Gandhi	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180607_173317389	160			4	160	0																																																																							
Sujay Analysis	20180718	Emergency Indira Gandhi	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180607_173317429	200			5	200	0																																																																							
Sujay Analysis	20180718	Emergency Indira Gandhi	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180607_173317469	240			6	240	0																																																																							
Sujay Analysis	20180718	Emergency Indira Gandhi	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180607_173317509	280			7	280	0																																																																							
Sujay Analysis	20180718	Emergency Indira Gandhi	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180607_173317549	320			8	320	0																																																																							
Sujay Analysis	20180718	Emergency Indira Gandhi	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180607_173317589	360			9	360	0																																																																							
Sujay Analysis	20180718	Emergency Indira Gandhi	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180607_173317629	400			10	400	0																																																																							
Sujay Analysis	20180718	Emergency Indira Gandhi	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180607_173317669	440			11	440	0																																																																							
Sujay Analysis	20180718	Emergency Indira Gandhi	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180607_173317709	480			12	480	0																																																																							
Sujay Analysis	20180718	Emergency Indira Gandhi	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180607_173317749	520			13	520	0																																																																							
Sujay Analysis	20180718	Emergency Indira Gandhi	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180607_173317789	560			14	560	1	166	109	135	135	-4.280937	0	0.2363132	0	-3.520046	0	0.2267205	0	-2.029379	0	0.2226821	0	0.5018286	0	-3.486715	0	-4.280937	0	0.5018286	0	1.243425	-0.9778649	3.005019	-1.047537	-0.02306312	0.7755456	-0.2526392	1.684318	-0.6908138	-0.3744532	-0.188194	-0.1898	-0.1664086	0.4657022	-0.8188105	-0.1363378	0.254206	-0.214121	-0.7920603	-0.02778046	0.3664597	0.4463764	-21.77435	3.718216	-2.526017	203.0801	148.6242	0	0	224.3552	145.7952	257.5717	151.0058	0	0	285.5905	151.4295	232.5482	178.8451	0	0						
Sujay Analysis	20180718	Emergency Indira Gandhi	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180607_173317829	600			15	600	1	167	110	131	131	-5.448168	0	0.1201222	0	-5.529531	0	-0.1621156	0	-3.233116	0	0.3497579	0	-0.1689466	0	-5.864636	0	-5.448168	0	0.3497579	0	2.062096	-1.480523	4.473812	-1.727116	-0.2981617	1.314985	-0.7201153	1.29587	-0.9928309	-0.3235977	-0.5231432	-0.4547046	-1.415869	1.118158	-0.3475098	-0.3280803	0.8897645	-0.3794295	-0.9514475	-0.05872792	0.2305658	0.4715449	-21.83475	3.385603	-2.582561	201.5439	147.1832	0	0	226.4751	147.7515	254.5669	149.1444	0	0	283.3537	150.4343	231.7636	177.5461	0	0						
