#Study : Sujay Analysis
#Date : 20180718 17:32:16
#Version : 6.4.8775.6
#TestRunDate : 20180716 12:14:56.122 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	HasGlasses Probability	IsMale Probability	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Sujay Analysis	20180718	Emergency Justin Trudeau	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_121456162	40			0	40	0																																																																							
Sujay Analysis	20180718	Emergency Justin Trudeau	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_121456202	80			1	80	0																																																																							
Sujay Analysis	20180718	Emergency Justin Trudeau	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_121456242	120			2	120	0																																																																							
Sujay Analysis	20180718	Emergency Justin Trudeau	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_121456282	160			3	160	0																																																																							
Sujay Analysis	20180718	Emergency Justin Trudeau	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_121456322	200			4	200	0																																																																							
Sujay Analysis	20180718	Emergency Justin Trudeau	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_121456362	240			5	240	0																																																																							
Sujay Analysis	20180718	Emergency Justin Trudeau	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_121456402	280			6	280	0																																																																							
Sujay Analysis	20180718	Emergency Justin Trudeau	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_121456442	320			7	320	1	1172	531	104	104	-3.676254	0	-1.395807	0	-2.129707	0	-0.909804	0	-0.9138003	0	-1.356003	0	-0.7751367	0	-0.2644109	0	-3.676254	0	-0.7751367	0	-0.6548929	-0.3155125	-0.07702639	-1.328008	-1.190595	-1.890393	-4.118897	-2.315978	-1.122855	-0.3905622	-5.114482	-0.6097214	-1.475922	-2.465951	-1.719579	-1.072225	-2.979593	-2.746047	-2.110562	0.7925599	1	1	1	1	1	1210.4	570.8	0	0	1208.8	564.4	1208.8	564.4	0	0	1269.514	557.9999	1223.2	570.8	0	0						
Sujay Analysis	20180718	Emergency Justin Trudeau	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_121456482	360			8	360	1	1172	531	104	104	-3.676254	0	-1.395807	0	-2.129707	0	-0.909804	0	-0.9138003	0	-1.356003	0	-0.7751367	0	-0.2644109	0	-3.676254	0	-0.7751367	0	-0.6548929	-0.3155125	-0.07702639	-1.328008	-1.190595	-1.890393	-4.118897	-2.315978	-1.122855	-0.3905622	-5.114482	-0.6097214	-1.475922	-2.465951	-1.719579	-1.072225	-2.979593	-2.746047	-2.110562	0.7925599	1	1	1	1	1	1210.4	570.8	0	0	1208.8	564.4	1208.8	564.4	0	0	1269.514	557.9999	1223.2	570.8	0	0						
Sujay Analysis	20180718	Emergency Justin Trudeau	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180716_121456522	400			9	400	1	1172	531	104	104	-3.676254	0	-1.395807	0	-2.129707	0	-0.909804	0	-0.9138003	0	-1.356003	0	-0.7751367	0	-0.2644109	0	-3.676254	0	-0.7751367	0	-0.6548929	-0.3155125	-0.07702639	-1.328008	-1.190595	-1.890393	-4.118897	-2.315978	-1.122855	-0.3905622	-5.114482	-0.6097214	-1.475922	-2.465951	-1.719579	-1.072225	-2.979593	-2.746047	-2.110562	0.7925599	1	1	1	1	1	1210.4	570.8	0	0	1208.8	564.4	1208.8	564.4	0	0	1269.514	557.9999	1223.2	570.8	0	0						
