#Study : Sujay Analysis
#Date : 20180718 17:32:16
#Version : 6.4.8775.6
#TestRunDate : 20180711 11:57:56.760 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	HasGlasses Probability	IsMale Probability	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Sujay Analysis	20180718	Non Emergency Justin Trudeau	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115756793	33			0	33	1	650	151	192	192	-2.708356	0	-0.803502	0	-3.604794	0	-2.14064	0	-0.7402195	0	1.099057	0	0.2880979	0	-0.7113292	0	-2.708356	0	1.099057	0	-0.8983764	-1.226141	0.1362927	-1.00184	-0.2220494	-0.1783146	0.09930479	1.023357	-1.448393	-1.137757	0.4566752	0.1077836	-1.373538	-0.6314127	-0.9789529	-0.7795922	-0.7307725	-1.244008	-2.408531	-1.645039	0.02441795	0.9718188	-1.639532	4.874168	1.099865	693.9535	209.5103	0	0	726.0163	205.4125	773.5247	202.6056	0	0	808.6551	203.5026	753.0256	253.7804	0	0						
Sujay Analysis	20180718	Non Emergency Justin Trudeau	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115756826	66			1	67	1	650	150	192	192	-2.220994	0	-0.6465982	0	-3.499387	0	-1.996215	0	-0.5592262	0	1.119735	0	-0.2704912	0	-0.5618445	0	-2.220994	0	1.119735	0	-1.124727	-1.258635	-0.06007322	-0.7712591	-0.2194396	-0.1111241	0.0181236	1.032994	-1.374556	-1.09211	0.3538529	0.1683971	-1.410773	-0.533942	-0.9686357	-0.739809	-0.7299762	-1.230389	-2.190874	-1.564191	0.0245873	0.9668527	-2.328186	5.052122	0.9656522	693.6152	208.584	0	0	725.2961	205.2225	772.8268	202.3853	0	0	808.355	203.4059	752.8197	253.0986	0	0						
Sujay Analysis	20180718	Non Emergency Justin Trudeau	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115756860	100			2	100	1	649	149	192	192	-2.046527	0	-0.915206	0	-3.536529	0	-2.086318	0	-0.4150518	0	1.069876	0	-0.09837395	0	-0.8114436	0	-2.046527	0	1.069876	0	-0.8999802	-1.166704	0.1429776	-0.8116836	-0.2092756	-0.1930005	-0.08627986	0.8776705	-1.220994	-1.028328	0.1501924	0.06611602	-1.35382	-0.4756752	-0.9892486	-0.7510088	-0.5936248	-1.03172	-1.946324	-1.595676	0.02745267	0.9681551	-1.865363	4.644871	1.467213	692.7972	208.7322	0	0	724.9094	204.0225	772.9814	200.9781	0	0	807.7191	201.3461	752.3192	252.3467	0	0						
Sujay Analysis	20180718	Non Emergency Justin Trudeau	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115756893	133			3	133	1	649	148	192	192	-1.57123	0	-0.7177541	0	-2.500929	0	-1.729352	0	-0.5352272	0	1.331801	0	-0.634823	0	-0.6469979	0	-1.57123	0	1.331801	0	-0.9079656	-1.063737	0.0571743	-0.7121853	-0.07826448	0.08887549	-0.262034	0.7916406	-1.116529	-1.174419	-0.2172944	-0.3252831	-1.311118	-0.2092454	-1.01862	-1.136062	0.1642346	-0.5246863	-2.029572	-1.026859	0.03219699	0.9559928	-1.668863	3.743945	1.302243	692.8954	208.6422	0	0	724.0193	202.2106	772.6688	199.2502	0	0	807.9865	200.8201	751.9072	250.5615	0	0						
Sujay Analysis	20180718	Non Emergency Justin Trudeau	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115756926	166			4	167	1	648	147	193	193	-1.915111	0	-0.8554208	0	-2.238704	0	-1.284529	0	-2.011792	0	1.739981	0	-1.613097	0	-2.279344	0	-1.915111	0	1.739981	0	-0.7428408	-0.9712566	0.244193	-0.683996	-0.2781032	0.1717629	-0.306435	1.318745	-1.171964	-1.457885	0.0562094	-0.6163253	-2.182575	-0.292396	-0.8061517	-1.939492	1.145542	-0.2589827	-2.769599	-0.8103907	0.02429049	0.9431778	-1.949363	2.583404	1.077062	692.1804	207.351	0	0	722.7684	201.3689	771.6566	198.9028	0	0	806.5629	199.5331	751.4375	250.9641	0	0						
Sujay Analysis	20180718	Non Emergency Justin Trudeau	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115756960	200			5	200	1	646	146	193	193	-2.04938	0	-0.6309869	0	-1.39597	0	-1.248279	0	-1.814592	0	1.526911	0	-1.25671	0	-1.763661	0	-2.04938	0	1.526911	0	-0.6553417	-0.810112	0.2247215	-0.5896985	-0.2490923	0.1261877	-0.4366503	1.077843	-1.133791	-1.504666	0.003306011	-0.6645197	-1.49045	-0.449991	-0.8759217	-1.937009	1.333162	0.1636887	-3.051391	-0.5510202	0.02607017	0.9013653	-2.712058	2.467772	1.300477	689.916	206.0335	0	0	721.4131	200.5886	770.3149	197.1283	0	0	805.2719	198.5628	749.6375	248.7049	0	0						
Sujay Analysis	20180718	Non Emergency Justin Trudeau	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115756993	233			6	234	1	645	145	193	193	-1.96661	0	-0.6751307	0	-1.399346	0	-1.425379	0	-1.053321	0	1.166398	0	-0.5353099	0	-1.164965	0	-1.96661	0	1.166398	0	-0.3653138	-0.7600325	0.5024063	-0.6251451	-0.01199007	0.2672241	-0.270256	0.6988947	-1.080112	-1.317564	-0.09012773	-0.6618938	-0.9305944	-0.4449099	-1.119146	-1.434718	0.7057619	-0.1389622	-2.786118	-0.253837	0.02794438	0.9138612	-3.165607	3.389353	1.906436	689.0244	206.2322	0	0	719.6089	200.0612	769.1799	195.6493	0	0	804.6605	197.1773	747.9749	246.5649	0	0						
Sujay Analysis	20180718	Non Emergency Justin Trudeau	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115757026	266			7	267	1	644	145	192	192	-1.875557	0	-0.8650044	0	-1.806615	0	-1.553673	0	-0.8520565	0	1.120644	0	-0.1458236	0	-0.8130556	0	-1.875557	0	1.120644	0	-0.3925093	-0.8028122	0.3787788	-0.5526097	-0.005097234	0.142735	-0.06575157	0.7103786	-1.111919	-1.217232	0.3071806	-0.3640898	-0.8623366	-0.5685061	-1.049558	-1.045257	0.1482383	-0.5526214	-2.725249	-0.6125594	0.02913078	0.9316739	-3.01034	3.18878	2.56577	687.0222	206.1129	0	0	717.5905	200.6363	766.6973	195.1217	0	0	801.9676	196.3654	746.0062	246.0756	0	0						
Sujay Analysis	20180718	Non Emergency Justin Trudeau	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115757060	300			8	300	1	643	144	191	191	-1.937834	0	-0.8525056	0	-1.702631	0	-1.407545	0	-1.053839	0	1.256703	0	-0.3559973	0	-1.143129	0	-1.937834	0	1.256703	0	-0.3778133	-0.7244223	0.3519571	-0.54872	-0.03347328	0.1486204	-0.1646365	0.8310773	-1.109025	-1.313775	0.2442103	-0.4997268	-1.13787	-0.5041392	-1.060535	-1.247533	0.4484975	-0.395277	-2.807866	-0.3586364	0.02742629	0.9536296	-3.603866	3.64821	2.137787	686.2288	204.899	0	0	716.9305	201.4561	765.3638	193.8356	0	0	800.4344	195.2784	743.6272	246.3983	0	0						
Sujay Analysis	20180718	Non Emergency Justin Trudeau	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115757093	333			9	334	1	640	143	193	193	-2.019868	0	-1.130318	0	-1.998922	0	-1.07625	0	-1.923174	0	1.579857	0	-1.176166	0	-2.257097	0	-2.019868	0	1.579857	0	-0.3068096	-0.7304792	0.4832868	-0.4104884	-0.08208474	0.2131737	-0.191682	1.26905	-1.178002	-1.453631	0.4263823	-0.7330166	-1.874841	-0.4135696	-0.9056154	-1.710314	1.111354	-0.2662177	-2.935315	-0.2941078	0.02640902	0.9646986	-3.657266	3.30039	2.206461	684.4216	205.003	0	0	714.9646	199.7399	763.7465	193.5201	0	0	799.3531	194.8233	741.4185	246.1387	0	0						
