#Study : Sujay Analysis
#Date : 20180718 17:32:17
#Version : 6.4.8775.6
#TestRunDate : 20180711 11:54:44.008 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	HasGlasses Probability	IsMale Probability	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Sujay Analysis	20180718	Emergency Kathleen Wynne	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115444308	300			0	300	1	462	115	394	394	1.238591	0	-2.180279	0	-2.849101	0	0.09806582	0	-3.128349	0	-1.515709	0	-5.619143	0	-3.185789	0	1.238591	0	0.09806582	0	-1.519995	-1.061068	-0.4702792	0.5492765	-0.3345681	-0.2224231	-0.9989741	-0.4586408	0.1564594	-0.9136488	-2.105191	-1.652992	-4.421351	1.040148	-0.6478543	-2.479039	1.896455	0.2662512	-2.398361	-4.304382	0.05679323	0.1604012	1.128861	4.185705	9.416926	539.0807	258.2901	0	0	602.6597	249.7518	698.1121	209.0262	0	0	770.5122	196.7652	663.2804	317.8141	0	0						
Sujay Analysis	20180718	Emergency Kathleen Wynne	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115444341	333			1	334	1	453	115	397	397	1.309627	0	-2.238311	0	-3.370511	0	0.02563036	0	-3.136829	0	-1.511505	0	-5.643739	0	-3.190962	0	1.309627	0	0.02563036	0	-1.631572	-1.210084	-0.4514427	0.5625854	-0.3974427	-0.2288244	-0.9373706	-0.3061355	0.09215843	-0.7089891	-1.974715	-1.495383	-4.607882	1.300931	-0.5208982	-2.333273	1.866425	0.1127885	-2.113879	-4.455356	0.06762936	0.1109989	1.542745	3.345612	9.643473	528.7037	258.8636	0	0	596.2016	250.3798	690.3788	209.2276	0	0	764.2962	197.5969	655.0333	316.1309	0	0						
Sujay Analysis	20180718	Emergency Kathleen Wynne	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115444375	367			2	367	1	444	113	400	400	1.101859	0	-1.692906	0	-2.936348	0	-0.4967872	0	-0.9061571	0	-1.222495	0	-3.24217	0	-0.7630509	0	1.101859	0	-0.4967872	0	-1.736119	-1.259091	-0.4577221	0.7010646	-0.3107639	-0.3240932	-0.9949074	-0.1514015	0.06603362	-0.4728798	-1.384073	-0.8898417	-2.962042	0.8273728	-0.4946003	-1.385221	0.5251085	-0.3381275	-1.794516	-4.654114	0.1091476	0.129567	2.038374	3.577232	10.09177	522.0542	257.315	0	0	586.9733	245.921	682.1383	208.9096	0	0	754.7318	196.5916	652.0901	323.1696	0	0						
Sujay Analysis	20180718	Emergency Kathleen Wynne	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115444408	400			3	400	1	440	115	396	396	0.9670329	0	-1.581418	0	-2.692925	0	-0.3506775	0	-0.5089905	0	-1.314606	0	-3.052281	0	-0.319852	0	0.9670329	0	-0.3506775	0	-1.706688	-1.239991	-0.5236908	0.6919127	-0.3254031	-0.3439572	-1.212799	-0.2277479	-0.002088691	-0.4761378	-1.338058	-0.8633581	-2.682594	0.6682124	-0.5880216	-1.132221	0.1339209	-0.5140633	-1.583749	-4.721799	0.06828667	0.1711312	1.915934	3.96176	9.47993	515.1038	258.4115	0	0	582.4292	248.8367	673.525	209.0083	0	0	746.4142	196.7883	646.121	322.0317	0	0						
Sujay Analysis	20180718	Emergency Kathleen Wynne	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115444441	433			4	434	1	428	120	397	397	1.137248	0	-1.55621	0	-2.749948	0	-1.085717	0	-0.9910275	0	-0.7755738	0	-3.299721	0	-0.7374576	0	1.137248	0	-0.7755738	0	-1.772336	-1.333736	-0.637006	0.2655785	-0.2471798	-0.2743011	-0.7257273	0.1527209	-0.001779418	-0.5104492	-1.129936	-0.6859648	-2.510178	0.5095824	-0.4661652	-1.377299	0.6513656	-0.1000294	-1.629346	-3.999774	0.06189581	0.1207787	2.691829	4.447438	9.798959	503.2531	261.8639	0	0	570.6926	254.2509	665.6115	212.099	0	0	732.3728	202.4598	636.0002	329.612	0	0						
Sujay Analysis	20180718	Emergency Kathleen Wynne	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115444475	467			5	467	1	423	121	398	398	0.7546815	0	-0.6828315	0	-2.641701	0	-0.8029196	0	-0.301708	0	-0.5637854	0	-2.36327	0	0.09588979	0	0.7546815	0	-0.301708	0	-1.854062	-1.43274	-0.2456997	0.5018265	0.04625469	0.1073187	-0.1438168	0.08488587	-0.1691491	-0.5271151	-1.121811	-0.7976696	-2.037921	0.2322022	-0.5541064	-1.047024	0.08465686	-0.4769846	-1.885896	-3.87168	0.04913199	0.1579304	3.576825	4.813758	9.017572	499.5798	267.4739	0	0	567.4776	246.2694	661.2651	216.3148	0	0	729.8069	204.0587	629.5053	332.4319	0	0						
Sujay Analysis	20180718	Emergency Kathleen Wynne	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115444508	500			6	500	1	418	137	393	393	1.322898	0	-1.084909	0	-2.301287	0	-1.383545	0	-0.8438379	0	-0.270843	0	-3.237386	0	-0.2927037	0	1.322898	0	-0.270843	0	-1.949984	-1.511228	-0.7586501	0.08592536	0.005930716	-0.01354824	-0.142049	0.4521647	-0.06358742	-0.503806	-0.9232439	-0.7452963	-1.879108	-0.04680607	-0.3289317	-1.406639	0.4208315	-0.2147011	-2.335713	-4.138255	0.04520832	0.2705708	5.402269	3.766836	9.281032	489.9758	278.9987	0	0	560.9781	270.4026	652.551	228.1276	0	0	718.7898	217.8161	624.3065	341.5551	0	0						
Sujay Analysis	20180718	Emergency Kathleen Wynne	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115444541	533			7	534	1	410	147	405	405	0.9283842	0	-1.12932	0	-1.753127	0	-1.181858	0	-4.114571	0	-0.337959	0	-5.264966	0	-3.391188	0	0.9283842	0	-0.337959	0	-1.861817	-1.404375	-0.5371708	-0.4806592	-0.2451553	-0.04174881	0.006274971	0.6338726	0.00206591	-0.7237014	-1.004068	-1.629907	-3.438056	-0.06397175	-0.4136784	-2.57882	2.641581	0.8685508	-3.174614	-3.966965	0.04858636	0.2090168	5.18354	4.874704	8.856848	484.02	296.7784	0	0	556.6415	283.6101	645.8179	240.181	0	0	715.4379	226.523	622.4849	363.4391	0	0						
Sujay Analysis	20180718	Emergency Kathleen Wynne	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115444575	567			8	567	1	406	157	406	406	0.5482803	0	-0.763031	0	-1.626205	0	-1.102216	0	-4.111239	0	-0.4929277	0	-5.389906	0	-3.915076	0	0.5482803	0	-0.4929277	0	-1.921998	-1.390906	-0.3790167	-0.3658707	-0.4589986	-0.1262265	-0.309846	0.4384851	-0.100258	-0.9303752	-1.349632	-1.95385	-3.34761	-0.06535974	-0.5627069	-2.728627	3.047017	1.157781	-3.355644	-3.928705	0.03561024	0.1321	5.601174	4.031844	8.732188	480.7833	305.7758	0	0	552.9419	292.6658	643.9448	251.9304	0	0	714.8333	238.2907	619.8463	372.3057	0	0						
Sujay Analysis	20180718	Emergency Kathleen Wynne	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115444608	600			9	601	1	407	157	404	404	0.6953415	0	-1.053822	0	-2.203212	0	-1.100108	0	-3.991148	0	-0.5118406	0	-4.841099	0	-2.961054	0	0.6953415	0	-0.5118406	0	-2.001947	-1.566966	-0.4166209	-0.4826374	-0.1998183	-0.1262357	-0.1243625	0.6923512	-0.06335209	-0.6529002	-0.9715028	-1.51881	-3.191917	0.030293	-0.4016336	-2.27053	2.385613	0.5127658	-3.063765	-4.338777	0.03231069	0.1279856	5.557462	3.750347	8.780784	479.7295	304.8436	0	0	554.8777	294.6015	641.9528	249.9016	0	0	712.5012	237.499	620.0463	371.8453	0	0						
