#Study : Sujay Analysis
#Date : 20180718 17:32:17
#Version : 6.4.8775.6
#TestRunDate : 20180711 11:55:01.989 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	HasGlasses Probability	IsMale Probability	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Sujay Analysis	20180718	Non Emergency Kathleen Wynne	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115503023	1034			0	1034	1	625	199	79	79	0.2971119	0	-0.8195251	0	-1.821333	0	-0.6703913	0	-0.6583717	0	1.243639	0	-2.098098	0	-1.138734	0	0.2971119	0	1.243639	0	-1.324604	-0.7452708	-0.7143146	-1.099111	0.6686959	-0.2953853	-0.04149269	0.5435826	0.6417127	-0.5082369	-0.906323	-0.09059227	-0.5366588	-0.8093815	-0.3225591	-0.2751565	-0.7105807	-0.8031552	-1.112301	-0.3037875	0.02257975	0.5911014	-10.07975	1.685877	-2.272158	648.7745	218.156	0	0	661.3502	221.4	677.2424	223.871	0	0	696.6121	225.0963	665.9448	242.061	0	0						
Sujay Analysis	20180718	Non Emergency Kathleen Wynne	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115503056	1067			1	1068	1	627	201	77	77	-0.9146031	0	-0.1187312	0	-1.039419	0	-0.2216809	0	-1.401878	0	1.167265	0	-1.598828	0	-1.947342	0	-0.9146031	0	1.167265	0	-1.119823	-0.5629136	0.176142	-0.8259823	0.4544563	-0.002249187	-0.1453436	0.7550486	0.228259	-1.090542	-0.1874073	-0.3022416	-0.6467122	-0.3753778	-0.7278001	-0.6963579	0.1009036	-0.2930259	-1.85685	0.5328715	0.02007812	0.3664693	-10.43981	3.18623	-2.627214	648.0151	220.2594	0	0	660.3031	222.0994	676.7273	225.2574	0	0	694.6599	225.8265	671.4169	243.6836	0	0						
Sujay Analysis	20180718	Non Emergency Kathleen Wynne	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115503090	1101			2	1101	1	1029	11	175	175	-0.06165858	0	-0.6894181	0	-0.01260653	0	0.5564917	0	0.1248093	0	-0.001563361	0	-0.01384253	0	-0.5640152	0	-0.06165858	0	0.5564917	0	0.07109272	-0.3831274	0.6898972	-0.1976843	0.2372393	-0.1118073	0.1566364	0.3011918	-0.1898625	0.2799639	0.3717487	0.07270274	-0.512222	-0.1464982	-0.1202955	0.2875056	-0.3785703	-0.3652779	0.3230326	0.4619373	0.4001663	0.2977839	-0.1144542	3.295235	-3.518304	1071.602	71.12669	0	0	1095.522	64.89142	1135.783	70.05972	0	0	1179.686	47.46113	1111.873	95.15659	0	0						
Sujay Analysis	20180718	Non Emergency Kathleen Wynne	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115503123	1134			3	1134	1	632	202	75	75	0.4175684	0	-0.9291498	0	-3.578265	0	0.534733	0	-2.415382	0	0.4943357	0	-3.35551	0	-3.806052	0	0.4175684	0	0.534733	0	-1.329025	-0.9741716	-0.02296738	-0.7731103	0.8193563	-0.000218448	0.2492444	0.5634142	1.240446	-0.495876	-1.334993	-0.8163213	-3.031456	0.6627575	-0.2173104	-1.276191	0.6985409	-0.4663475	-1.702455	0.1198671	0.01949301	0.7098461	-9.85667	0.1104073	-1.33641	651.6613	221.619	0	0	663.3133	223.4737	678.9784	226.6623	0	0	698.2421	227.6509	675.9125	241.4771	0	0						
Sujay Analysis	20180718	Non Emergency Kathleen Wynne	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115503156	1167			4	1168	1	632	202	73	73	1.318621	0	-1.365013	0	-3.875825	0	-0.7483864	0	-2.351573	0	0.1944871	0	-3.251633	0	-3.883707	0	1.318621	0	0.1944871	0	-1.499922	-1.131896	-0.5533906	-1.717381	1.082228	0.06762525	-0.1027871	0.4822129	1.584118	-0.3778292	-1.055815	-0.3847254	-3.049598	0.07624391	-0.2926673	-0.7309123	0.114444	-0.5474578	-1.804302	-0.4713835	0.02099269	0.7558672	-9.861668	1.504631	-0.9905945	651.2062	221.5048	0	0	663.2908	223.2387	678.9785	226.1481	0	0	697.0001	226.978	673.9795	241.054	0	0						
Sujay Analysis	20180718	Non Emergency Kathleen Wynne	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115503190	1201			5	1201	1	634	202	73	73	1.472086	0	-1.467668	0	-3.930836	0	-0.7254965	0	-2.762794	0	0.1560973	0	-3.151836	0	-3.896358	0	1.472086	0	0.1560973	0	-1.566434	-1.184415	-0.6884842	-1.819699	1.162931	-0.08001499	-0.3570192	0.4233609	1.614362	-0.5633849	-0.8497271	-0.4772319	-3.509046	0.09580938	-0.4026299	-0.911694	0.2011381	-0.4507213	-1.774968	-0.3343123	0.01962717	0.8068404	-9.547596	4.404372	-1.519034	652.5494	220.8805	0	0	664.765	222.8141	680.5551	225.1265	0	0	697.566	226.7561	676.2739	241.3003	0	0						
Sujay Analysis	20180718	Non Emergency Kathleen Wynne	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115503223	1234			6	1235	1	634	204	76	76	1.563458	0	-3.006872	0	-5.456137	0	-0.2654534	0	-5.4643	0	-0.534427	0	-4.735739	0	-6.800882	0	1.563458	0	-0.2654534	0	-1.47653	-1.253593	-0.459185	-1.32546	1.2848	0.1387933	-0.1962256	0.9876416	1.833052	-1.064422	-0.9265524	-0.6902258	-6.358175	0.931163	-0.7421789	-1.472276	1.570232	-0.03434187	-2.107052	-1.195878	0.01945576	0.6794211	-9.908916	4.530128	-1.430112	654.2418	222.997	0	0	664.9598	225.0731	683.0834	227.8031	0	0	699.7933	228.7365	678.4627	245.1482	0	0						
Sujay Analysis	20180718	Non Emergency Kathleen Wynne	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115503256	1267			7	1268	1	631	202	83	83	1.381856	0	-1.900932	0	-5.182477	0	-0.340032	0	-3.147494	0	-0.1917092	0	-3.739646	0	-5.138632	0	1.381856	0	-0.1917092	0	-1.604691	-1.160696	-0.1199472	-0.4959807	1.640046	0.1826	0.5722767	1.014774	1.45565	-0.9427181	-0.8359889	-0.3923544	-4.636591	0.5473987	-0.8541713	-0.7210007	0.4485608	-0.2813028	-1.088735	-1.415693	0.01949756	0.5793266	-9.020686	5.327458	-1.193744	653.4208	223.2464	0	0	665.2249	224.1799	684.5704	227.9489	0	0	701.1512	227.7598	680.1428	249.6993	0	0						
Sujay Analysis	20180718	Non Emergency Kathleen Wynne	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115503290	1301			8	1301	1	633	201	79	79	1.333546	0	-2.366406	0	-4.761609	0	-0.1809661	0	-3.9042	0	-0.2597019	0	-3.571162	0	-6.133849	0	1.333546	0	-0.1809661	0	-1.292741	-0.8021588	-0.2136838	-0.5110077	1.649848	0.1347236	0.2151495	1.169514	1.820275	-1.105324	-0.6263775	-0.4633912	-5.235528	0.7149962	-1.095579	-1.047844	0.6672231	-0.5046903	-1.867178	-0.9384127	0.0194975	0.598194	-7.560103	3.763995	-1.115098	652.9681	221.6627	0	0	666.54	224.218	684.9091	227.072	0	0	701.7288	227.2761	678.7424	243.4159	0	0						
Sujay Analysis	20180718	Non Emergency Kathleen Wynne	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_115503323	1334			9	1335	1	634	201	80	80	0.919193	0	-2.035317	0	-4.642558	0	0.539088	0	-4.074414	0	0.0256434	0	-3.311055	0	-6.179098	0	0.919193	0	0.539088	0	-1.117656	-0.6893024	-0.08066666	-0.1355882	1.547483	0.1985247	-0.1352146	1.126366	1.690316	-1.216287	-0.6326313	-0.4655614	-5.918133	0.7840011	-1.003657	-1.256786	0.8605621	-0.4026273	-2.22003	-0.6661035	0.01981783	0.383569	-5.910351	3.957649	-0.2922909	653.2304	221.5548	0	0	667.6921	224.4942	685.9365	227.4068	0	0	702.9949	227.226	681.7247	242.5669	0	0						
