#Study : Sujay Analysis
#Date : 20180718 17:32:19
#Version : 6.4.8775.6
#TestRunDate : 20180711 11:02:19.448 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	HasGlasses Probability	IsMale Probability	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Sujay Analysis	20180718	Non Emergency Leo Varadkar	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_110221481	2033			0	2033	1	544	208	168	168	3.598464	0	-3.703943	0	-6.52925	0	-3.192081	0	-2.756782	0	-0.581693	0	-4.953484	0	-6.676168	0	3.598464	0	-0.581693	0	-2.16389	-1.586554	-0.8426273	-2.484455	2.254718	-0.1356545	0.06866904	0.5530457	2.829053	-1.303493	-1.517667	-0.9259683	-4.989232	-1.092579	-1.165886	-0.8651168	0.1322722	-1.037626	-1.207288	-0.2036046	0.02828338	0.5439474	-7.243685	4.092735	-1.313891	583.8535	253.9052	0	0	615.1231	258.0227	649.7957	259.8337	0	0	685.6326	250.062	634.3681	299.7994	0	0						
Sujay Analysis	20180718	Non Emergency Leo Varadkar	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_110221514	2066			1	2067	1	544	209	167	167	3.992909	0	-4.124238	0	-7.215384	0	-3.232785	0	-2.83313	0	-1.145468	0	-5.325297	0	-7.456725	0	3.992909	0	-1.145468	0	-2.255952	-1.718492	-0.8876588	-2.632813	2.406	-0.03608084	-0.09297575	0.4532128	3.037688	-1.3257	-1.624099	-1.004148	-5.402736	-1.084746	-1.310058	-0.9325631	0.3557783	-0.9943511	-1.208988	-0.3712617	0.02855452	0.4332247	-5.721832	4.991481	-0.8371593	583.6483	254.7407	0	0	615.4642	258.9033	647.1891	261.5583	0	0	686.2018	253.0641	633.9521	300.3513	0	0						
Sujay Analysis	20180718	Non Emergency Leo Varadkar	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_110221547	2099			2	2100	1	544	210	167	167	4.001827	0	-4.093182	0	-7.68543	0	-3.508057	0	-2.987994	0	-1.170452	0	-5.806756	0	-7.76243	0	4.001827	0	-1.170452	0	-2.428538	-1.847326	-0.8435973	-2.710958	2.396614	-0.01489618	0.1002169	0.3529281	3.016048	-1.440711	-2.001622	-1.148741	-5.580079	-1.065761	-1.459114	-1.062852	0.4173912	-0.9663774	-1.445816	-0.2833906	0.02520972	0.4265899	-4.996009	5.148194	-0.529349	583.7584	254.2401	0	0	615.144	258.6907	654.9396	264.0407	0	0	682.6389	252.8069	632.4921	301.0066	0	0						
Sujay Analysis	20180718	Non Emergency Leo Varadkar	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_110221581	2133			3	2133	1	545	212	161	161	4.990273	0	-5.097773	0	-7.985581	0	-3.554749	0	-3.622056	0	-2.464959	0	-6.372014	0	-7.949074	0	4.990273	0	-2.464959	0	-2.397178	-2.015905	-0.8977091	-2.608419	2.061306	0.04204715	-0.5485426	0.2349341	3.091478	-1.397576	-2.349886	-1.769791	-6.018489	-0.8234926	-1.710177	-1.378315	1.101709	-0.4450487	-1.825379	-1.190389	0.02363821	0.4520139	-4.995631	5.409325	-0.5252514	582.5852	253.4094	0	0	615.3291	259.1721	651.6227	262.0198	0	0	679.221	258.1475	633.1442	300.2326	0	0						
Sujay Analysis	20180718	Non Emergency Leo Varadkar	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_110221614	2166			4	2167	1	547	211	160	160	4.607193	0	-4.944847	0	-7.518234	0	-3.668606	0	-3.356824	0	-1.927796	0	-5.828071	0	-6.671638	0	4.607193	0	-1.927796	0	-2.349173	-2.061856	-0.9107741	-2.495657	2.003551	-0.1102017	-0.4753894	0.2177663	2.74591	-1.548174	-2.396874	-1.991567	-5.528442	-0.8682043	-1.70424	-1.640092	1.037113	-0.3405737	-1.993537	-1.105815	0.02452129	0.6023282	-6.291831	5.470026	-0.8977677	583.3848	253.2555	0	0	615.4921	259.0215	650.4659	260.0753	0	0	680.3583	256.1924	635.3064	298.8637	0	0						
Sujay Analysis	20180718	Non Emergency Leo Varadkar	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_110221648	2200			5	2200	1	546	211	160	160	4.940492	0	-5.295608	0	-7.673428	0	-3.590274	0	-3.630529	0	-2.325759	0	-6.098711	0	-7.093705	0	4.940492	0	-2.325759	0	-2.350047	-2.067257	-0.9832417	-2.591938	1.985057	-0.007847255	-0.6480383	0.2459966	2.940491	-1.520119	-2.198128	-1.915823	-5.825882	-0.8519238	-1.622217	-1.515335	1.125106	-0.3468977	-1.824368	-1.341819	0.02464795	0.7757527	-6.75808	6.34116	-1.333276	583.373	254.6283	0	0	615.4704	257.8518	649.095	258.6972	0	0	681.1476	257.0162	632.5879	298.7894	0	0						
Sujay Analysis	20180718	Non Emergency Leo Varadkar	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_110221681	2233			6	2233	1	543	208	163	163	5.174549	0	-5.489198	0	-8.884036	0	-3.72172	0	-3.916909	0	-2.636675	0	-6.719768	0	-8.404182	0	5.174549	0	-2.636675	0	-2.444695	-2.138887	-0.835509	-2.745179	2.243028	0.1131838	-0.4295536	0.2525443	3.281296	-1.52164	-2.474565	-1.98429	-6.715904	-0.7475317	-1.761291	-1.615934	1.249565	-0.3627105	-2.088217	-1.197392	0.02310372	0.7508553	-4.989669	8.091435	-1.859318	580.7397	251.6682	0	0	614.1439	255.9287	647.0681	257.1261	0	0	679.3942	253.6924	631.0724	298.836	0	0						
Sujay Analysis	20180718	Non Emergency Leo Varadkar	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_110221714	2266			7	2267	1	544	210	158	158	5.073963	0	-5.297993	0	-7.292407	0	-3.331081	0	-4.562129	0	-2.684064	0	-6.176232	0	-6.098279	0	5.073963	0	-2.684064	0	-2.244147	-1.990963	-1.054683	-2.460573	1.952818	0.03651425	-0.8657534	0.2957405	2.837363	-1.454751	-2.274544	-2.025833	-6.48717	-0.7839435	-1.414543	-1.612653	1.37159	-0.0954284	-1.906247	-1.967749	0.0315899	0.7764975	-6.61088	1.847978	-1.09619	581.1395	253.2534	0	0	610.7584	254.9376	645.1554	255.0164	0	0	676.705	256.0049	629.12	295.7095	0	0						
Sujay Analysis	20180718	Non Emergency Leo Varadkar	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_110221748	2300			8	2300	1	541	205	158	158	5.672682	0	-6.265429	0	-8.656655	0	-3.5226	0	-5.161407	0	-3.782351	0	-7.23666	0	-7.695047	0	5.672682	0	-3.5226	0	-2.212481	-2.029756	-1.374035	-2.888239	2.190815	0.09934784	-1.459763	0.2787274	3.350552	-1.635008	-2.305761	-1.998915	-7.760579	-0.5493385	-1.592142	-1.697109	1.572052	0.1022268	-1.917132	-2.032396	0.03731548	0.8740717	-7.19132	0.004192519	-1.77998	578.5284	246.5362	0	0	611.2262	251.5776	642.6716	252.0685	0	0	675.7056	250.3985	625.9836	291.0687	0	0						
Sujay Analysis	20180718	Non Emergency Leo Varadkar	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_110221781	2333			9	2333	1	540	196	160	160	7.565727	0	-9.232382	0	-10.10552	0	-4.686209	0	-7.928327	0	-5.727231	0	-9.779727	0	-10.65565	0	7.565727	0	-4.686209	0	-1.995958	-1.793316	-2.130149	-3.154468	3.2193	0.09673185	-2.453164	0.1489759	4.746257	-2.306298	-2.872904	-2.539881	-10.65422	-0.2678645	-2.364886	-2.860086	2.468926	0.5556548	-2.90947	-3.1452	0.02348069	0.8109261	-7.683816	-1.437998	-1.970191	577.8207	239.9068	0	0	608.8801	242.1388	644.1694	243.0164	0	0	674.6487	241.0893	624.7031	283.2292	0	0						
Sujay Analysis	20180718	Non Emergency Leo Varadkar	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_110221814	2366			10	2367	1	536	181	162	162	8.689439	0	-11.8978	0	-10.81604	0	-4.893747	0	-10.34599	0	-7.911692	0	-11.40417	0	-14.89521	0	8.689439	0	-4.893747	0	-1.3639	-1.104851	-2.596627	-3.368431	3.8782	0.2282599	-3.682062	0.2290062	5.660831	-2.245827	-2.651474	-2.641983	-14.04802	-0.4927663	-2.980415	-3.881254	3.081123	0.7486229	-3.834353	-4.918427	0.0378908	0.7886259	-6.422171	-0.5824131	-2.393293	575.8152	225.1089	0	0	607.7875	227.7063	643.0513	228.4036	0	0	672.073	226.8119	620.6169	271.3407	0	0						
