#Study : Sujay Analysis
#Date : 20180718 17:32:20
#Version : 6.4.8775.6
#TestRunDate : 20180612 14:04:28.767 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	HasGlasses Probability	IsMale Probability	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Sujay Analysis	20180718	Emergency Narendra Modi	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180612_140428767	0			0	0	1	95	69	65	65	-2.056911	0	0.2148768	0	-3.653538	0	-1.288231	0	-0.7937977	0	-0.2306585	0	-1.107526	0	-1.316238	0	-2.056911	0	0.2148768	0	-1.033922	-1.674844	1.088553	-0.9615121	-0.2549928	0.2144313	0.2410017	-0.03576775	-0.8614664	-0.6989492	-0.7970091	-0.4564936	-0.1998693	0.6701941	-0.6007772	-0.6906546	-0.4241321	-0.6915256	-1.064288	-0.1597494	0.6165695	0.4175553	7.341781	-8.709347	7.602517	108.2285	93.04659	0	0	117.0292	91.32668	133.2355	85.84354	0	0	147.6885	84.99618	131.3952	102.2434	0	0						
Sujay Analysis	20180718	Emergency Narendra Modi	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180612_140428800	33			1	33	1	93	69	66	66	-2.770814	0	0.4308517	0	-4.288221	0	-1.926114	0	-0.8725286	0	-0.4271671	0	-1.301503	0	-1.802584	0	-2.770814	0	0.4308517	0	-1.256111	-1.948664	1.499107	-1.039707	-0.06355246	0.4956603	0.8156223	0.04165131	-1.031295	-0.8588397	-0.8008433	-0.3043267	-0.08698146	0.5242758	-0.4396751	-0.6799824	-0.5365296	-0.7290074	-1.361986	-0.2936383	0.6103685	0.7271725	7.271473	-7.192407	7.389725	106.7582	92.22101	0	0	115.274	91.54488	132.6093	86.07986	0	0	146.2617	84.7095	129.4718	102.4388	0	0						
Sujay Analysis	20180718	Emergency Narendra Modi	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180612_140428833	66			2	67	1	89	68	69	69	-2.722926	0	0.7064896	0	-4.084857	0	-1.878727	0	-1.313272	0	-0.4290089	0	-1.444934	0	-1.981872	0	-2.722926	0	0.7064896	0	-1.476282	-2.162521	1.952319	-0.8743445	-0.3224917	0.7109353	0.3891799	-0.1400207	-1.025628	-0.9013638	-1.131187	-0.4231883	0.07964072	0.4980604	-0.5496673	-0.5473344	-0.1172451	-0.6284128	-0.8424256	-0.2595833	0.4726129	0.9417512	6.470102	-4.613686	8.806645	102.7026	92.75877	0	0	112.831	91.07381	130.7877	86.3809	0	0	144.5703	85.2411	126.9799	102.4936	0	0						
Sujay Analysis	20180718	Emergency Narendra Modi	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180612_140428867	100			3	100	1	87	68	68	68	-3.428346	0	0.9236767	0	-4.649166	0	-2.369874	0	-1.653468	0	-0.6242512	0	-1.671876	0	-2.541923	0	-3.428346	0	0.9236767	0	-1.547979	-2.608174	2.612794	-0.7544285	-0.1733513	1.061617	0.6120844	0.01847852	-1.308127	-0.9939312	-1.222457	-0.3937943	0.2220604	0.601447	-0.5908837	-0.4178507	-0.05893568	-0.7081136	-0.9880002	-0.1841658	0.7702194	0.7220579	4.772967	-1.693194	9.163888	101.4792	91.98232	0	0	110.7661	90.85693	128.4615	87.5158	0	0	143.6926	84.76286	124.244	102.1485	0	0						
Sujay Analysis	20180718	Emergency Narendra Modi	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180612_140428900	133			4	133	1	82	67	70	70	-3.21927	0	0.5318639	0	-4.599764	0	-1.936877	0	-1.753723	0	-0.3943463	0	-1.396628	0	-2.464042	0	-3.21927	0	0.5318639	0	-1.438338	-2.202901	2.623306	-0.5230201	-0.4455042	1.135821	0.2450213	0.02434644	-1.265203	-1.222004	-1.461221	-0.5734545	-0.07818551	0.7954686	-0.609271	-0.5212301	0.5939047	-0.4299661	-0.6140465	-0.9985618	0.3100145	0.9184286	2.265118	-1.44438	7.486972	97.2745	90.79207	0	0	107.5444	89.70054	125.5164	85.82643	0	0	140.9733	84.7573	120.1009	101.0737	0	0						
Sujay Analysis	20180718	Emergency Narendra Modi	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180612_140428933	166			5	167	1	77	64	71	71	-2.389977	0	0.09229378	0	-3.244874	0	-1.032913	0	-1.326148	0	-0.387556	0	-0.8734333	0	-1.183867	0	-2.389977	0	0.09229378	0	-1.080356	-1.221129	1.436396	-0.4031242	-1.095046	0.2780807	-1.099872	-0.1164701	-1.46816	-1.225392	-2.060533	-0.8805473	-0.2699846	0.1058226	-1.17362	-0.8095884	0.7356959	-0.140858	-0.7405666	-0.5686037	0.7416637	0.971813	-3.410998	0.9722204	5.834116	93.63776	87.85516	0	0	103.5401	87.50414	122.5808	84.81113	0	0	138.0387	83.41611	114.8493	98.63372	0	0						
Sujay Analysis	20180718	Emergency Narendra Modi	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180612_140428967	200			6	200	1	74	63	73	73	-1.74919	0	0.02560868	0	-1.92057	0	-0.2507629	0	-1.274335	0	-0.1239958	0	-0.3259242	0	-0.8998645	0	-1.74919	0	0.02560868	0	-0.07765304	-0.4886116	1.151725	-0.1869878	-0.7794311	0.2728491	-0.8022119	0.07604878	-1.236716	-0.9968312	-1.027251	-0.9802145	-0.8314449	0.2918544	-0.8930236	-0.6701711	0.7833267	-0.1868103	-0.5673288	0.4726967	0.8870947	0.9503275	-6.180715	-0.256447	5.408866	88.34608	88.06401	0	0	101.9166	86.30051	121.473	83.75865	0	0	134.9439	82.80769	112.2686	96.94653	0	0						
Sujay Analysis	20180718	Emergency Narendra Modi	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180612_140429000	233			7	234	1	75	63	65	65	-2.763074	0	0.06615716	0	-3.302246	0	-0.09509932	0	-1.287912	0	-0.02204792	0	-0.3359912	0	-1.733806	0	-2.763074	0	0.06615716	0	-0.563851	-1.45473	1.63227	-0.4451839	-0.5194287	0.2490737	-0.9229339	-0.1112726	-1.124697	-1.054936	-1.197597	-0.4956518	0.1751737	0.9492635	-0.5591362	-0.3396937	-0.02812646	-0.6011502	-0.7839959	0.6463063	0.992002	0.8824968	0.2160675	-1.306185	0.5192612	89.99565	84.56676	0	0	104.8418	83.52266	115.5959	82.51103	0	0	133.4476	81.5271	107.6126	94.41583	0	0						
Sujay Analysis	20180718	Emergency Narendra Modi	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180612_140429033	266			8	267	1	121	1	81	81	-3.299163	0	1.164303	0	-4.798698	0	-3.487118	0	-0.7851382	0	-0.005816889	0	-2.052952	0	-1.154866	0	-3.299163	0	1.164303	0	-2.645264	-2.596944	1.078694	-1.186761	-0.7637753	-0.01976828	0.9921612	0.08953673	-1.180992	-0.2617272	-1.008706	0.51037	0.9023157	-1.067084	0.515869	0.2689296	-1.504422	-0.9849283	-1.082217	-0.2227106	1	0.3374946	-0.2440755	3.20479	-0.665777	139.6078	25.74232	0	0	159.1208	24.9115	171.8667	24.62636	0	0	191.4127	23.32995	159.7061	43.04097	0	0						
Sujay Analysis	20180718	Emergency Narendra Modi	0	MALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180612_140429067	300			9	300	1	77	62	62	62	-1.575734	0	0.1123268	0	-2.957035	0	-0.3967635	0	-0.6300529	0	-0.2238175	0	-0.5539842	0	-1.202058	0	-1.575734	0	0.1123268	0	-0.5657516	-1.629508	1.341943	-0.8087668	-0.2073652	0.3387521	-0.4890386	-0.3672721	-0.7915057	-0.7167841	-1.325843	-0.5209081	0.4894731	0.8197863	-0.5574436	-0.2456453	-0.3048719	-0.7043709	-0.7458313	0.8527207	0.2997246	0.8185853	-1.917687	-4.018646	1.376283	91.77475	81.50279	0	0	105.8049	80.87291	117.382	80.86344	0	0	132.7827	80.71543	108.3366	92.34274	0	0						
