#Study : Sujay Analysis
#Date : 20180718 17:32:22
#Version : 6.4.8775.6
#TestRunDate : 20180603 15:45:24.167 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	HasGlasses Probability	IsMale Probability	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Sujay Analysis	20180718	Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180603_154524167	0			0	0	1	241	132	138	138	0.3736157	0	-1.280862	0	-1.3671	0	-0.5213025	0	-0.9715545	0	-0.322751	0	-0.7245327	0	-1.654092	0	0.3736157	0	-0.322751	0	-0.3464581	-0.3579825	0.1160005	-0.7079728	0.7424783	0.556322	-0.4190375	0.7126113	0.4998134	-0.6433107	0.5276619	-0.6801634	-1.327289	0.1445839	-0.1202613	-0.3183699	0.7448344	0.06075186	-1.913078	-1.533359	0.3022901	0.2376725	10.86405	3.618618	10.3706	264.0495	181.5459	0	0	294.1322	173.0961	323.6449	167.4068	0	0	348.0273	165.5648	318.7339	202.5363	0	0						
Sujay Analysis	20180718	Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180603_154524207	40			1	40	1	243	136	135	135	-0.001418216	0	-1.429195	0	-1.928674	0	-0.5323758	0	-0.9865342	0	-0.04144539	0	-0.7986956	0	-2.229643	0	-0.001418216	0	-0.04144539	0	-0.2577112	-0.2762272	0.4036018	-1.007865	0.7240996	0.5356998	-0.3664978	0.7682476	0.5780188	-0.602661	0.8945946	-0.3855051	-1.851192	0.4226774	0.1386255	-0.3606783	0.6085998	-0.07383943	-2.280797	-0.7506716	0.2294361	0.1323594	12.75385	4.59614	11.11063	266.5846	183.6134	0	0	295.6379	176.627	324.7629	171.8529	0	0	349.4238	169.4347	318.6888	205.5721	0	0						
Sujay Analysis	20180718	Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180603_154524247	80			2	80	1	244	141	134	134	-0.3621375	0	-1.515574	0	-1.195967	0	-0.3178296	0	-1.235352	0	0.208808	0	-0.9680533	0	-2.339798	0	-0.3621375	0	0.208808	0	-0.03258367	-0.03752916	0.4358346	-1.319224	0.4213533	0.3881529	-0.5372621	0.8030043	0.4310198	-0.6810427	0.3760202	-0.5785007	-1.870309	0.228317	0.1540504	-0.70711	1.020432	0.02661147	-2.413233	-0.44091	0.2145931	0.2236455	13.69982	4.659338	10.44609	266.6699	187.527	0	0	297.7538	181.8858	326.4911	177.219	0	0	349.2612	172.9623	319.6714	209.2115	0	0						
Sujay Analysis	20180718	Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180603_154524287	120			3	120	1	244	145	134	134	-0.4819418	0	-1.528839	0	-0.6964838	0	0.1264101	0	-1.715543	0	0.2290612	0	-1.272343	0	-2.463518	0	-0.4819418	0	0.2290612	0	0.173045	0.2313292	0.3503011	-1.373126	0.1783704	0.3294016	-1.019836	0.8810018	0.4354862	-0.710061	0.1432227	-0.9047546	-2.021023	0.3343419	0.09407381	-0.9457023	1.411152	0.2822348	-2.412421	-0.4437783	0.1882693	0.2617829	14.47641	4.934354	9.660683	267.2936	191.053	0	0	297.5413	186.2111	325.2863	180.5247	0	0	350.2509	176.9224	319.4686	213.4651	0	0						
Sujay Analysis	20180718	Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180603_154524327	160			4	160	1	243	148	136	136	-0.2413859	0	-1.370521	0	-0.5648502	0	-0.06418119	0	-1.399242	0	0.1621514	0	-0.9180037	0	-1.745988	0	-0.2413859	0	0.1621514	0	-0.004853423	0.1720972	-0.08559567	-1.494118	0.2955825	0.4880322	-0.8220667	0.8921843	0.4875952	-0.5422337	0.3840314	-0.6497944	-1.672567	0.1729313	0.1959095	-0.6381177	0.9880708	0.1339344	-2.159441	-0.6225836	0.08957418	0.3691904	16.05972	5.874775	9.495573	268.4315	194.0921	0	0	296.2176	189.1265	325.6227	183.9767	0	0	351.5878	180.5318	319.605	218.4831	0	0						
Sujay Analysis	20180718	Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180603_154524367	200			5	200	1	240	149	144	144	-0.1731872	0	-0.6441754	0	-0.3291867	0	-0.8973355	0	-0.4585283	0	0.3137217	0	-0.544605	0	-0.4499908	0	-0.1731872	0	0.3137217	0	-0.4402897	-0.3246866	-0.503353	-1.313689	0.25792	0.2277704	-0.2644759	0.4898819	0.2863111	-0.1268317	0.2045078	-0.418882	-0.3255958	-0.6645525	-0.1600778	-0.2477657	-0.5195136	-0.6326076	-1.664323	-0.9150363	0.1148781	0.4573097	16.35119	6.863945	8.937748	264.6061	199.0589	0	0	296.3824	192.6917	326.8456	186.8754	0	0	352.6677	182.2799	319.9222	222.5357	0	0						
Sujay Analysis	20180718	Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180603_154524407	240			6	240	1	239	150	145	145	-0.2420186	0	-0.4968608	0	-0.1060699	0	-0.7075703	0	-0.528691	0	0.2714422	0	-0.6006483	0	-0.3323098	0	-0.2420186	0	0.2714422	0	-0.3409954	-0.2682837	-0.4138559	-0.9476258	0.3103183	0.3667856	-0.1820326	0.5977904	0.1965067	-0.08999532	0.1948322	-0.4525678	-0.3414825	-0.7135183	-0.1404267	-0.2554538	-0.2300483	-0.421977	-1.494084	-0.9670663	0.1334362	0.5292051	15.73439	7.007318	8.067495	264.0461	201.2494	0	0	296.1063	194.7544	325.5911	188.7491	0	0	352.8647	184.4688	319.0139	225.2225	0	0						
Sujay Analysis	20180718	Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180603_154524447	280			7	280	1	239	152	146	146	-0.2340019	0	-0.3938225	0	-0.0651803	0	-0.6084603	0	-0.4178771	0	0.1933364	0	-0.6621243	0	-0.2679264	0	-0.2340019	0	0.1933364	0	-0.3939724	-0.2971818	-0.4167633	-0.8085341	0.2268186	0.2093652	-0.2101624	0.5504988	0.1750837	-0.03374922	0.1675213	-0.3989778	-0.2546947	-0.7262373	-0.1932418	-0.2597374	-0.4037523	-0.5284948	-1.510242	-0.9480791	0.1080935	0.6088831	15.38051	7.512406	7.841311	263.7012	203.169	0	0	296.1265	197.4468	326.7405	191.3273	0	0	353.1974	186.017	318.4045	227.0411	0	0						
Sujay Analysis	20180718	Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180603_154524487	320			8	320	1	241	154	141	141	-0.263135	0	-0.2810694	0	0.1030975	0	-0.04237499	0	-0.701525	0	0.1670997	0	-0.7125214	0	-0.3317486	0	-0.263135	0	0.1670997	0	-0.3787564	-0.354831	-0.4314862	-0.4416181	0.1151802	0.2119002	-0.3324227	1.087768	0.1207007	-0.2284794	0.4598948	-0.4120394	-0.9954298	-0.3623677	-0.07017309	-0.5871568	-0.1489033	-0.6630823	-1.817464	-1.399466	0.1065244	0.5613834	16.74308	7.918009	7.902602	267.396	202.4511	0	0	295.4551	198.2236	328.0247	191.2066	0	0	352.8955	188.3999	318.0369	227.4128	0	0						
Sujay Analysis	20180718	Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180603_154524527	360			9	360	1	238	153	145	145	-0.06553534	0	-0.2889239	0	0.08903292	0	-0.1930469	0	-0.466111	0	0.05736076	0	-0.5740376	0	-0.2242997	0	-0.06553534	0	0.05736076	0	-0.2320613	-0.2598041	-0.6325322	-0.6565214	0.166019	0.2638	-0.3551375	0.7474121	0.3357437	-0.01606401	0.4362024	-0.3511843	-0.5137621	-0.6501679	-0.1242362	-0.333932	-0.5765782	-0.8297601	-1.785461	-1.09037	0.1096275	0.5785075	14.90148	8.032603	7.472588	264.1653	202.4833	0	0	295.1803	198.1912	326.9157	191.1757	0	0	353.1601	187.4674	317.4167	227.1373	0	0						
Sujay Analysis	20180718	Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180603_154524567	400			10	400	1	235	151	149	149	0.1959004	0	-0.1370194	0	0.5090203	0	-0.4979857	0	-0.6271234	0	0.3780962	0	-0.8131238	0	-0.416546	0	0.1959004	0	0.3780962	0	-0.04245665	-0.08174239	-0.7242314	-0.5954663	0.1326043	0.2394778	-0.2631297	0.9358292	0.2907262	-0.118084	0.03743593	-0.4381302	-0.614528	-1.004837	-0.2099447	-0.5525865	-0.498271	-0.897757	-2.340894	-0.7900395	0.1025499	0.6127135	12.98161	8.500937	7.390504	260.8556	201.4329	0	0	294.3929	196.4329	326.6901	190.4657	0	0	352.1552	187.4883	316.4104	227.8555	0	0						
Sujay Analysis	20180718	Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180603_154524607	440			11	440	1	238	152	140	140	-0.3943985	0	-0.2848615	0	-0.04348734	0	0.347013	0	-1.129748	0	0.4365182	0	-0.7063133	0	-0.9400738	0	-0.3943985	0	0.4365182	0	-0.3120109	-0.2480654	-0.4630404	-0.2601815	0.02526002	0.1682139	-0.428662	1.643077	0.2088196	-0.5388304	0.5076845	-0.5040141	-1.454093	-0.171926	-0.1241084	-0.7193535	0.1461226	-0.6450672	-2.272526	-1.144934	0.08559906	0.6094473	14.11789	8.862417	7.44137	265.7201	197.6037	0	0	293.2941	194.5191	324.8444	189.4422	0	0	350.9027	185.8599	315.1615	225.3028	0	0						
Sujay Analysis	20180718	Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180603_154524647	480			12	480	1	238	150	140	140	-0.348136	0	-0.4718346	0	-0.672609	0	0.08189023	0	-1.170364	0	0.4571158	0	-0.9938183	0	-1.256198	0	-0.348136	0	0.4571158	0	-0.6493072	-0.4935701	-0.3760192	-0.2430474	-0.09724055	-0.06058478	-0.2441735	1.657851	0.1627344	-0.5552211	0.6476888	-0.3734233	-1.74321	-0.2657849	-0.1605207	-0.6460334	-0.1114727	-0.7913806	-2.221462	-1.0621	0.06989293	0.5715171	12.46859	8.15721	7.770271	265.249	194.9655	0	0	292.6604	192.416	324.0442	187.9	0	0	350.2733	184.0764	314.1577	223.5327	0	0						
Sujay Analysis	20180718	Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180603_154524687	520			13	520	1	236	146	142	142	0.05347113	0	-0.5529455	0	-0.556708	0	-0.06677469	0	-1.017627	0	0.299947	0	-0.7905098	0	-1.01545	0	0.05347113	0	0.299947	0	-0.4388758	-0.4331042	-0.5667057	-0.3603669	0.08130215	0.06259284	-0.1929575	1.464724	0.3459755	-0.4704091	0.7406964	-0.3617745	-1.53309	-0.4704306	-0.2718978	-0.5675764	-0.3073925	-0.8575517	-2.260625	-1.497291	0.08390002	0.5824156	11.63179	7.969032	8.698413	262.7266	193.3969	0	0	292.4665	190.6373	323.3275	183.9254	0	0	349.4741	180.9859	314.0586	220.6866	0	0						
Sujay Analysis	20180718	Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180603_154524727	560			14	560	1	237	145	140	140	0.3019688	0	-0.6306021	0	-1.193219	0	-0.3174274	0	-0.9877762	0	0.1937689	0	-1.136006	0	-1.457635	0	0.3019688	0	0.1937689	0	-0.6824945	-0.637549	-0.2321894	-0.2479243	0.1829026	-0.01301658	-0.01303218	1.468468	0.3515043	-0.4191746	0.7197518	-0.257298	-1.806151	-0.3283678	-0.1400785	-0.4387901	-0.3622959	-0.7935581	-1.975408	-1.208624	0.09178338	0.631238	12.38185	7.781529	8.994743	264.021	191.2519	0	0	290.3859	187.2833	323.9445	183.2738	0	0	348.6951	179.1076	313.2772	217.6458	0	0						
Sujay Analysis	20180718	Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180603_154524767	600			15	600	1	236	142	138	138	0.1673318	0	-0.966894	0	-1.238086	0	-0.188638	0	-0.9717818	0	-0.2011658	0	-1.444501	0	-1.556809	0	0.1673318	0	-0.188638	0	-0.6998084	-0.5942438	-0.2642266	-0.07496066	0.1374341	-0.05279164	-0.4116535	1.374557	0.3073336	-0.4812473	0.5920503	-0.5157637	-2.079391	-0.09417216	-0.1568697	-0.5151898	0.008601557	-0.4790722	-2.224511	-1.668071	0.1012734	0.575361	11.06919	7.77615	9.270865	263.3981	188.0448	0	0	290.0164	184.5342	322.3146	178.7554	0	0	347.6502	176.1482	312.0473	214.264	0	0						
Sujay Analysis	20180718	Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180603_154524807	640			16	640	1	236	138	139	139	-0.1325089	0	-0.8627088	0	-1.270946	0	0.1522703	0	-0.7922243	0	-0.06022149	0	-0.9343353	0	-1.44996	0	-0.1325089	0	0.1522703	0	-0.558807	-0.4716289	-0.2558534	-0.07845463	0.1525233	-0.1032692	-0.5027453	1.348021	0.3612345	-0.4974968	0.8538484	-0.3753365	-1.841177	-0.09104164	-0.1541434	-0.3603915	-0.1656584	-0.6331282	-2.195977	-1.644979	0.1247709	0.6261559	10.68554	7.428574	9.628899	261.8067	185.2785	0	0	289.2565	181.0696	321.1273	175.4603	0	0	346.8362	172.755	312.3243	210.4615	0	0						
Sujay Analysis	20180718	Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180603_154524847	680			17	680	1	235	134	140	140	-0.2592519	0	-0.9441062	0	-0.938137	0	0.3920515	0	-0.8464603	0	-0.06358504	0	-0.8268028	0	-1.431777	0	-0.2592519	0	0.3920515	0	-0.441478	-0.321343	-0.1372639	-0.115328	0.2320171	0.01618116	-0.5714794	1.21039	0.3144081	-0.6610303	1.049096	-0.4806775	-1.939872	0.1675758	-0.2025617	-0.5010214	0.1681148	-0.3004422	-1.911838	-1.518596	0.1445461	0.4256292	11.15278	6.346938	10.49987	260.4176	182.1079	0	0	289.0197	176.838	321	171.1671	0	0	346.211	169.4362	312.8788	206.5585	0	0						
