#Study : Sujay Analysis
#Date : 20180718 17:32:19
#Version : 6.4.8775.6
#TestRunDate : 20180711 11:12:00.164 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	HasGlasses Probability	IsMale Probability	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Sujay Analysis	20180718	Non Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111200204	40			0	40	0																																																																							
Sujay Analysis	20180718	Non Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111200244	80			1	80	0																																																																							
Sujay Analysis	20180718	Non Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111200284	120			2	120	1	516	158	245	245	0.7503884	0	-1.734849	0	-1.66837	0	-0.8611827	0	-0.1902369	0	-1.023928	0	-1.673035	0	-1.075258	0	0.7503884	0	-0.1902369	0	-0.646037	-0.5670936	-0.2742494	0.133586	-0.3079515	0.2765077	-1.340302	-0.4892332	0.1033644	-0.6490812	-0.4301824	-0.8479864	-1.959789	0.8114793	-0.5692912	-1.035514	1.163961	0.8144248	-1.437341	-1.985234	0.06377786	0.3044026	0.3063012	3.720867	4.956084	567.249	237.3931	0	0	612.8226	230.9988	676.7574	227.9475	0	0	720.6757	227.012	645.5321	278.1308	0	0						
Sujay Analysis	20180718	Non Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111200324	160			3	160	1	517	157	247	247	0.6226286	0	-1.516001	0	-1.711195	0	-0.862721	0	-0.320252	0	-0.5714847	0	-1.642686	0	-0.6949241	0	0.6226286	0	-0.320252	0	-0.8538579	-0.6803671	-0.4227164	-0.007920883	-0.06198888	0.484885	-1.241729	-0.2587974	0.08842078	-0.7419218	-0.1830595	-0.8327943	-1.782929	0.6450991	-0.4631841	-1.024974	1.114018	0.6865718	-1.716271	-2.398354	0.07678256	0.2990749	1.864712	1.979394	5.229005	566.9397	237.7777	0	0	616.388	229.0517	677.0459	225.3851	0	0	722.2762	227.1435	647.102	278.7564	0	0						
Sujay Analysis	20180718	Non Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111200364	200			4	200	1	516	157	248	248	0.3346325	0	-1.433818	0	-1.895308	0	-0.3366458	0	-0.512579	0	-0.3599956	0	-1.40005	0	-0.6380815	0	0.3346325	0	-0.3366458	0	-0.8136761	-0.6775947	-0.3598917	0.0849556	-0.07036304	0.4062046	-1.387677	0.03698346	0.08370399	-0.9043748	-0.1028868	-1.003691	-2.048796	0.8924152	-0.5314006	-1.14982	1.269599	0.5305586	-2.001954	-2.578604	0.09966575	0.2233676	2.366345	1.401264	5.104814	566.5935	238.1998	0	0	616.2507	230.7554	677.4558	225.7637	0	0	723.0831	227.5459	647.2518	279.4599	0	0						
Sujay Analysis	20180718	Non Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111200404	240			5	240	1	519	158	246	246	0.431791	0	-1.656192	0	-1.936004	0	-0.7352479	0	-0.4882771	0	-0.3846752	0	-1.611446	0	-0.7998257	0	0.431791	0	-0.3846752	0	-0.9422267	-0.7094223	-0.4554669	-0.003948335	0.03862251	0.5205122	-1.274089	-0.0100994	0.110744	-0.8957145	-0.04983411	-1.01835	-2.127041	0.7841142	-0.4929346	-1.144871	1.270448	0.6302292	-2.155578	-2.892179	0.09171019	0.2274545	2.370795	1.316683	5.312537	568.5161	239.0813	0	0	621.615	230.616	677.6125	226.2784	0	0	725.6913	227.512	647.5121	279.0372	0	0						
Sujay Analysis	20180718	Non Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111200444	280			6	280	1	517	157	249	249	0.3546033	0	-1.652172	0	-2.091516	0	-0.4775093	0	-0.4815008	0	-0.5039501	0	-1.391006	0	-0.6009404	0	0.3546033	0	-0.4775093	0	-0.8893173	-0.7366654	-0.3803359	0.02691631	0.001371146	0.4978287	-1.398015	-0.04726462	0.07755634	-0.886454	-0.04165668	-1.020777	-2.059833	0.9683515	-0.483359	-1.054337	1.270656	0.5281178	-2.002302	-2.852438	0.08169864	0.247583	2.70198	1.187505	5.300095	568.2891	238.7311	0	0	617.5368	231.1759	678.4811	225.8946	0	0	725.6206	227.5153	647.0841	279.5203	0	0						
Sujay Analysis	20180718	Non Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111200484	320			7	320	1	520	159	244	244	0.4796399	0	-1.599132	0	-1.843736	0	-0.6880416	0	-0.510271	0	-0.3962737	0	-1.672078	0	-0.8778327	0	0.4796399	0	-0.3962737	0	-1.018581	-0.7827458	-0.458817	0.1174415	0.09226671	0.5583882	-1.136114	-0.1036348	0.1014929	-0.9363337	-0.080349	-0.9999934	-2.081717	0.7493386	-0.5452402	-1.24811	1.307905	0.6575246	-2.231794	-2.843611	0.07305433	0.2587357	2.756896	0.8498692	5.237379	569.4651	238.6906	0	0	621.3464	230.6592	677.9855	226.6294	0	0	724.6419	228.1737	648.1483	279.1925	0	0						
Sujay Analysis	20180718	Non Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111200524	360			8	360	1	520	159	246	246	0.4541882	0	-1.536764	0	-1.803329	0	-0.6088303	0	-0.6855194	0	-0.3783625	0	-1.75341	0	-1.03133	0	0.4541882	0	-0.3783625	0	-0.9902709	-0.6969873	-0.4237927	0.1671648	0.0670626	0.5174384	-1.254653	-0.03005239	0.1702759	-1.021753	-0.1516847	-1.102136	-2.29552	0.7804574	-0.6195391	-1.333971	1.489868	0.7760834	-2.373957	-2.677434	0.07770494	0.2423137	2.282127	0.5161164	5.381167	569.751	239.3585	0	0	619.1631	230.219	679.0901	228.5093	0	0	725.6939	228.1003	648.0652	278.2075	0	0						
Sujay Analysis	20180718	Non Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111200564	400			9	400	1	520	158	246	246	0.2714519	0	-1.472264	0	-1.280095	0	-0.395895	0	-0.8159872	0	-0.4288109	0	-1.769032	0	-1.003443	0	0.2714519	0	-0.395895	0	-0.8384683	-0.5525873	-0.4760283	0.2567562	-0.04811364	0.4221628	-1.439892	-0.1062811	0.1505189	-1.146227	-0.1661712	-1.243574	-2.231734	0.7464389	-0.6336084	-1.344193	1.670291	0.9348757	-2.482053	-2.431874	0.06399997	0.3435762	2.295672	0.845176	5.240875	570.3745	236.6139	0	0	617.7928	232.0104	678.2299	225.8313	0	0	725.2891	227.5482	649.8439	279.0931	0	0						
Sujay Analysis	20180718	Non Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111200604	440			10	440	1	520	155	247	247	0.3916773	0	-1.299827	0	-0.1695833	0	-0.6920806	0	-1.118127	0	-0.8326848	0	-1.893877	0	-1.579507	0	0.3916773	0	-0.6920806	0	-0.5138004	-0.3383604	-0.6408784	0.02772905	-0.1185917	0.3140216	-1.641653	-0.4636	0.07922564	-1.31483	-0.1748352	-1.354055	-2.067854	0.242625	-0.7218767	-1.551901	1.990415	1.679196	-2.641087	-1.756766	0.1260747	0.2776974	1.909302	-0.2120946	5.61851	570.7016	235.3538	0	0	617.3819	228.9781	680.0558	224.1658	0	0	727.315	224.2779	649.955	274.2354	0	0						
Sujay Analysis	20180718	Non Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111200644	480			11	480	1	519	150	248	248	-0.4099612	0	-1.747155	0	0.7173738	0	-0.5653043	0	-2.087745	0	-1.174545	0	-2.848925	0	-2.781423	0	-0.4099612	0	-0.5653043	0	0.1243322	0.2739149	-0.5378486	0.2613882	-0.7266829	-0.1536171	-2.349159	-0.5862143	-0.1170374	-1.502318	-0.5337635	-1.866968	-2.726656	0.1746571	-0.9501881	-2.543337	3.073515	2.43942	-3.282243	-1.182089	0.1440552	0.4273013	1.653917	-5.473828	5.716385	571.0588	232.0403	0	0	615.812	224.3713	681.2931	219.5845	0	0	728.0083	221.2667	649.0308	267.8387	0	0						
Sujay Analysis	20180718	Non Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111200684	520			12	520	1	516	144	247	247	-0.4230431	0	-2.508545	0	0.1343672	0	-0.6658666	0	-0.1408038	0	-1.633987	0	-0.5987309	0	-0.280443	0	-0.4230431	0	-0.1408038	0	0.5630926	0.50357	-0.3268227	0.3268333	-0.7906458	-0.05523657	-2.473915	-1.042933	-0.1730259	-0.4525998	-0.06666418	-0.6590274	-0.6320322	-0.1016588	-0.5146432	-1.019439	1.337129	1.278584	-1.537024	-1.130924	0.1489918	0.4251202	-1.861055	-7.380102	6.205195	566.4104	226.2732	0	0	616.0091	219.5491	675.8264	212.891	0	0	725.4825	215.9344	644.439	259.9824	0	0						
Sujay Analysis	20180718	Non Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111200724	560			13	560	1	508	139	245	245	-0.5267699	0	-2.174514	0	-1.481341	0	-0.989906	0	0.2923304	0	-1.473727	0	0.3681879	0	0.4712275	0	-0.5267699	0	0.3681879	0	0.5145247	0.3173526	-0.1677503	0.1959773	-0.6600667	-0.1525643	-2.396457	-0.923898	-0.0002993227	0.06725885	0.2309173	-0.03009129	-0.3310759	-0.1558075	-0.2295806	-0.2559681	-0.05078413	0.01344428	-1.295312	-1.241222	0.1582941	0.2925906	-3.198317	-8.947837	6.339666	559.1141	220.9891	0	0	603.3569	216.3519	665.3893	207.6455	0	0	716.1432	207.0151	633.4903	253.3033	0	0						
Sujay Analysis	20180718	Non Emergency Theresa May	0	FEMALE	FaceRecording_SujayAnalysis	TestImage	Emotient FACET	20180711_111200764	600			14	600	1	501	135	243	243	-0.5829948	0	-2.089071	0	-1.088576	0	-0.7956687	0	0.1979882	0	-0.5872524	0	0.2711102	0	0.5764133	0	-0.5829948	0	0.2711102	0	0.5458703	0.410526	-0.1198758	0.1328866	-0.1081692	-0.009514742	-1.611707	-0.3699747	0.02554795	-0.2926154	0.1482475	-0.3005802	-0.6534677	-0.1609206	-0.557687	-0.6989548	0.3138745	0.03412164	-2.012478	-0.7062289	0.2208805	0.2371004	-7.102343	-9.45893	7.618245	551.0114	218.5542	0	0	594.8439	213.2616	656.6422	201.2192	0	0	706.1017	201.2478	623.44	247.6959	0	0						
